video_id,channelTitle,title,publishedAt,description,duration,definition,caption,viewCount,likeCount,favoriteCount,commentCount,publishedDay,durationSecs
9CwHsg0AUB0,Bong Eats,Cooking with Rahul Arora: Rannaghore Ke? Episode 8,2023-08-18 04:00:08+00:00,"Rannaghore Ke? is a fun adda with old and new friends about food, life and everything else. This is episode 8 with Rahul Arora, who ran the Bon Appetit cafes in Kolkata, which had branches in Hazra and Salt Lake, successfully for 13 years. He now bakes, and cooks small batches of curated menus on weekends.

In this episode, Rahul talks about his childhood, and growing up in a Punjabi household in Kolkata. Rahul is himself not at all an orthodox cook. In his curated Punjabi menus, especially, he demonstrates how food can be rooted in tradition and family history, and still have room for personal, modern, practical touches.

Enjoy the recipes Rahul teaches us: desi murga curry (with country-chicken), and a khatti-meethi pumpkin sabzi, which he then turns into a raita and a pulao!

🎂 Follow Rahul on Instagram: https://www.instagram.com/rahul.arora.1982/",PT30M15S,hd,false,172979.0,3073.0,0.0,177.0,Friday,1815
-xuI6LeE_sA,Bong Eats,Taaler luchi 🔥,2023-08-17 11:11:58+00:00,,PT42S,hd,false,23763.0,929.0,0.0,4.0,Thursday,42
3TXK9-NTtzs,Bong Eats,Taaler kheer 💛,2023-08-16 11:47:47+00:00,,PT26S,hd,false,13137.0,574.0,0.0,5.0,Wednesday,26
GNQ8_PykDEA,Bong Eats,How to extract taal pulp 🌴,2023-08-15 10:03:16+00:00,,PT41S,hd,false,18998.0,776.0,0.0,12.0,Tuesday,41
3jx4uvqLLdE,Bong Eats,Taaler kheer + Taaler luchi—traditional Bengali sweets using toddy palm fruit,2023-08-11 04:00:04+00:00,"Taal is the Bangla name for the toddy palm fruit. Ripe fruits appear in the market in the middle of August and stay on for just over a month. It is a fibrous fruit with a golden-yellow, sweet, fragrant pulp. The pulp is turned into all kinds of sweets in Bengal—fried sweet-savoury fritters (phuluri), taal-flavoured rice puddings, and various other stuffed sweetmeats. Today's video covers two of our favourites that are commonly served together—both made using taal pulp.

The first one is taal kheer—a pudding of the pulp with reduced milk and fresh coconut. The second recipe is luchi—a fried puffy bread that is kneaded with the pulp instead of water—resulting in golden luchi instead of the regular white luchis.

The taal tree is an important part of Bengal's natural landscape. It is a giant among giants—being the tallest tree in Bengal's flora of tall palms such as the coconut, date and betel palms. The tree is loved so much that it has had poems written for it by both of Bengal's greatest poets—Rabindranath and Nazrul. The love endures to this day.

______________________________________________
🥘 RECIPE WITH INGREDIENT LIST 📝
https://bongeats.com/recipe/taaler-kheer/
https://bongeats.com/recipe/taaler-luchi/
______________________________________________

🎥 RELATED VIDEOS
🎬 Beler shorbot: https://youtu.be/Zk88kKYg7iA
🎬 Aamporar shorbor: https://youtu.be/Sq7p2_KMlEA  
______________________________________________
🔪CURIOUS ABOUT OUR KITCHEN POTS & PANS? 🍳
https://bongeats.com/kitchen/tools

📷 OUR CAMERA GEAR DETAILS 🎙
https://bongeats.com/gear​
______________________________________________

🎶 MUSIC 
""Chowringhee"" © Bong Eats, composed by  @Bemanan Music  

🎧 GET THE ALBUM (© for listening only)
https://kit.co/bongeats/music-album-quorma-kaliya-polao

👨🏽‍🍳 Cooking Bong Eats recipes? 👩🏽‍🍳
📸SHOW US YOUR PHOTOS! 
Instagram @bongeats

Or follow us on Twitter @bongeats | Facebook @bongeats",PT5M29S,hd,false,65612.0,2222.0,0.0,111.0,Friday,329
XH6OLE-ECHQ,Bong Eats,Loitta machher jhuri 😱,2023-08-01 10:26:48+00:00,,PT1M,hd,false,45598.0,2108.0,0.0,20.0,Tuesday,60
D7ipEsZJfTE,Bong Eats,"Loitta machh'er jhuri—a dry, spicy Bombay Duck recipe from Bengal",2023-07-28 04:00:14+00:00,"Loitta, or lotey fish in Bengal, is known in western India as Bombay Duck or bombil. While loitta in its shutki (dried) form has a cult following, the fresh fish is also savoured for its unique flavour and soft, gelatinous texture. This particular preparation of loitta is very popular in our family. It is made in a variety of consistencies, ranging from a soft gravy (that we set aside for my father), all the way to a dried fudge-like paste (that almost everyone else in our family seems to prefer). If you are still at a stage where you are hesitant to eat shutki (the dried form), fresh loitta can be a very good entry point. 

It is also our duty to add that according to one theory, dried loitta used to be transported to Bengal (where it was more popular at the time) by the Bombay Mail, stinking up the post (letters, newspapers, etc.) on the train. The fish earned notoriety among the British as Bombay Daak (the Bangla word for ‘mail’). Hence, the name ‘Bombay duck’.

🌾 We've served loitta machher jhuri with plain dudhersar from Amar Khamar, although it'll probably taste even better with their red or hand-pounded dudhersar 👉🏾 https://go.bongeats.com/amar-khamar-free-shipping (use code BONGEATS23 for free shipping for orders over Rs 750).

______________________________________________
🥘 RECIPE WITH INGREDIENT LIST 📝
https://bongeats.com/recipe/loitta-macher-jhuri/
______________________________________________

🎥 RELATED VIDEOS
🎬 Shutki bata: https://youtu.be/Du6Bsj2s47Y
🎬 Gorom'er shobji diye machher jhol: https://youtu.be/KEFoA6p1FjY
______________________________________________
🔪CURIOUS ABOUT OUR KITCHEN POTS & PANS? 🍳
https://bongeats.com/kitchen/tools

📷 OUR CAMERA GEAR DETAILS 🎙
https://bongeats.com/gear​
______________________________________________

🎶 MUSIC 
""Chowringhee"" © Bong Eats, composed by  @Bemanan Music  

🎧 GET THE ALBUM (© for listening only)
https://kit.co/bongeats/music-album-quorma-kaliya-polao

👨🏽‍🍳 Cooking Bong Eats recipes? 👩🏽‍🍳
📸SHOW US YOUR PHOTOS! 
Instagram @bongeats

Or follow us on Twitter @bongeats | Facebook @bongeats",PT4M53S,hd,false,153123.0,3704.0,0.0,134.0,Friday,293
fhvOzKRWS1c,Bong Eats,Potoler Dorma with a DAL stuffing!,2023-07-22 11:30:04+00:00,,PT53S,hd,false,37420.0,1670.0,0.0,10.0,Saturday,53
HOqiPecowhU,Bong Eats,"🌶️ Shada alur torkari, kaalo jeere phoron",2023-07-20 10:40:09+00:00,,PT39S,hd,false,14732.0,725.0,0.0,15.0,Thursday,39
80IPnweRQXo,Bong Eats,🤟🏽 Shada alur torkari,2023-07-18 10:00:45+00:00,,PT41S,hd,false,11668.0,659.0,0.0,15.0,Tuesday,41
livC-tGE93Y,Bong Eats,Shada Alur Tarkari—Bengali White Potato Curry | Quick potato curry recipe,2023-07-14 04:00:31+00:00,"If you have never had shada alur torkari before you may look at the recipe and think—boiled potatoes with a nigella-seed tempering—how good can it be? But make it once and you will be shocked at how delicious and comforting this incredibly simple dish tastes. It really lets the potato flavour shine like almost no recipe we can think of. Mashed potatoes are comforting, but they have a lot of butter and cream and salt and pepper. Potato soup has tonnes of other ingredients. Even alur dum and the spicy alur tarkari have other things going on. This has none. It is the purest homage to the Bengali love for potatoes.

______________________________________________
🥘 RECIPE WITH INGREDIENT LIST 📝
https://bongeats.com/recipe/shada-alur-torkari/
______________________________________________

🎥 RELATED VIDEOS
🎬 Luchi: https://youtu.be/qH1kB0u35dI
🎬 Doodh cha: https://youtu.be/ntigmnhKrAY  
______________________________________________
🔪CURIOUS ABOUT OUR KITCHEN POTS & PANS? 🍳
https://bongeats.com/kitchen/tools

📷 OUR CAMERA GEAR DETAILS 🎙
https://bongeats.com/gear​
______________________________________________

🎶 MUSIC 
""Priyo Phuchkawala"" © Bong Eats, composed by  @Bemanan Music  

🎧 GET THE ALBUM (© for listening only)
https://kit.co/bongeats/music-album-quorma-kaliya-polao

👨🏽‍🍳 Cooking Bong Eats recipes? 👩🏽‍🍳
📸SHOW US YOUR PHOTOS! 
Instagram @bongeats

Or follow us on Twitter @bongeats | Facebook @bongeats",PT4M27S,hd,false,146631.0,3795.0,0.0,151.0,Friday,267
-i45Afv1NfQ,Bong Eats,"🌂 Khichuri, papad, beguni, omelette ☁️",2023-06-23 18:21:32+00:00,,PT55S,hd,false,71226.0,3421.0,0.0,25.0,Friday,55
yCwvj9XAtRg,Bong Eats,Lau chingri! 🍤,2023-06-20 10:37:07+00:00,,PT53S,hd,false,22507.0,1119.0,0.0,8.0,Tuesday,53
51Pzl3VzHsU,Bong Eats,Lau Chingri—Lau Ghonto with Chingri—Bengali bottle gourd recipe with shrimp,2023-06-16 04:00:02+00:00,"On paper, lau chingri is a simple recipe with very few spices. In reality, it can be difficult to get right. Part of the problem is that bottle gourd (lau) can release a large quantity of water. The cook needs to use this water to cook the gourd such that by the time the gourd is perfectly cooked, all of the water has dried up. They must adjust the heat, and cover and uncover the pot based on how much water the gourd releases, and how fast it turns soft. This is a difficult thing to master as it is, but the problem is made worse by the fact that bottle gourds vary widely in water content and tenderness. Every lau is different!

On the day of filming we were lucky enough to find excellent lau in the market, the fine hairs on the surface still intact, AND some spotted kucho chingri (small freshwater prawns), which fishsellers refer to as harin chingri (deer prawns) because of the spots. 

🌾 We've served lau chingri today with a light mosur dal and 'Hand-pounded Dudhersar Rice' from Amar Khamar. It is truly gorgeous, flecks of red visible through white. You can order it from their website 👉🏾 https://go.bongeats.com/amar-khamar, or enter code BONGEATS at checkout to get a small discount.

______________________________________________
🥘 RECIPE WITH INGREDIENT LIST 📝
https://bongeats.com/recipe/lau-chingri/
______________________________________________

🎥 RELATED VIDEOS
🎬 Echor'er dalna: https://youtu.be/FBnKYbUNhYc
🎬 Kacha mooger dal: https://youtu.be/IzfEnYxzjUg
🎬 Lauer khosha bhaja: https://www.youtube.com/watch?v=vqtAmpsppi4
🎬 Bengali gorom moshla: https://youtu.be/GqlDz7dQMA0
______________________________________________
🔪CURIOUS ABOUT OUR KITCHEN POTS & PANS? 🍳
https://bongeats.com/kitchen/tools

📷 OUR CAMERA GEAR DETAILS 🎙
https://bongeats.com/gear​
______________________________________________

🎶 MUSIC 
""Chowringhee"" © Bong Eats, composed by  @Bemanan Music  

🎧 GET THE ALBUM (© for listening only)
https://kit.co/bongeats/music-album-quorma-kaliya-polao

👨🏽‍🍳 Cooking Bong Eats recipes? 👩🏽‍🍳
📸SHOW US YOUR PHOTOS! 
Instagram @bongeats

Or follow us on Twitter @bongeats | Facebook @bongeats",PT3M46S,hd,false,112847.0,2227.0,0.0,105.0,Friday,226
bQ-G80WbcrE,Bong Eats,Potol posto 😴,2023-06-06 11:30:41+00:00,,PT52S,hd,false,32966.0,1632.0,0.0,17.0,Tuesday,52
