video_id,comment
urF2q-ylC18,"I have worked with her in real time at The Oberoi Gurgaon during on of her bengali food promotions, she is a gem  of a person."
urF2q-ylC18,"Such a lovely episode this is. Lots of love (from Arundhati and Soumya) to Bong Eats (plus, Ms. Pritha Sen) from Limerick 🇮🇪 Oftentimes we keep getting absolutely amazed by the content’s depth in this channel 🙏😊 Please keep on streaming such great work!"
urF2q-ylC18,I've been waiting for long time for a new episode of this series. Unlike others this one is also lit. What I love about this series is the conversation with the guest during cooking. This time the cooking part is more fascinating than the past ones. So many lovely cuisines in a single episode!!❤
urF2q-ylC18,"So nicely said "" the food habits are not politically bound, they are ethnically and regionally connected""😊😊"
urF2q-ylC18,"Ami onar sob logic gulo mante parlam. Gravy thickening toh kaju and chalmogoj diyeo hoy. Bohu mondire niramish khabar oibhabei banano hoy commercially. Tomato is also a thickening agent, curd is also a thickening agent, milk is also a thickening agent. Udipi te je ranna hoy segulo sob piyaz roshun chara. Amader nijeder cuisine er proti kono shroddha nei tai bibhinno bahana"
urF2q-ylC18,"She is soooo sweet,and made so valid points"
urF2q-ylC18,"I want to thank you guys for showing us such wonderful recipes through Bongeats channel. To be honest, I have started gaining interest in these older techniques of cooking through your videos and people around me love when I cook one of your recipes! Keep up the good work guys."
urF2q-ylC18,The richer you get the farther you move away from your roots ❤
urF2q-ylC18,"Very knowledgeable episode it is..I""ll try the khoi bora definitely,❤"
urF2q-ylC18,"Pritha di's description of the influences that has shaped Bengali cuisine down the ages is absolutely correct. Truly Bengali food is the first example of global food as the ingredients and influnces have been absorbed and assimilated from very diverse cultures all over the world and is therefore very unique and also varies from place to place, home to home. Also it is important to understand that Bengali cuisine has an outreach as far as the Bengal Presidency during British era."
urF2q-ylC18,Loved the episode. Ei recipe gulo ebong Pritha Di r blog r link gulo pele khub e bhalo hoy!
urF2q-ylC18,"what a lovely lady, what a beautifully edited episode."
k-OyBThArrQ,This ginger candy are available at new market unlike thr ginger candy( cube shaped ) found in orginal video
k-OyBThArrQ,"In the video's you've covered, I was wondering for a while about something. What might be the Desi (South Asian) equivalent of hotpot or closest thing to it?"
k-OyBThArrQ,Discovered something new - The Sikkim Fireball.
k-OyBThArrQ,Could anyone suggest a good Anglo Indian restaurant in Kolkata 😢
k-OyBThArrQ,No doubt recipe is really good but if we can avoid alcohol please suggest Any authentic substitute for alcohol please reply me
k-OyBThArrQ,Do I have to refrigerate the soaked dry fruits? And what is  the proportion of rum ... can you elaborate a bit?
k-OyBThArrQ,"Hi, I’ve tried this recipe for the past 2 years and it’s turned out fabulous! Thankyou. Although I’ve used a round cake tin. You’ve not mentioned the height of your 9x4 inches cake tin to get the loaf size that’s in your video. Please Advise, thank you!"
k-OyBThArrQ,Links to the full video aren't working 😢
k-OyBThArrQ,Can't take my eyes off the 'madur'.
k-OyBThArrQ,Can you please share the recipe? Somehow the link is not opening!😔
k-OyBThArrQ,Mine also soaked
k-OyBThArrQ,batashe borodinrr gondho pachhi.
k-OyBThArrQ,Soaking for nearly a month?
k-OyBThArrQ,Can I use something else instead of alcohol? As I am a muslim. I hope there is some replacable ingredient.
k-OyBThArrQ,I use your recipe for my Xmas cakes …. Love it ! 🙏🙏🙏love all your videos
kUnLPk_V8EI,"✍🏾 Written recipe: https://bongeats.com/recipe/niramish-mangsho
📌 Watch this video in Bangla:
https://youtu.be/xv8oiRGjpCw

🌾 We've served niramish mangsho today with fragrant Tulaipanji (siddha) rice from Amar Khamar.   
🛒 Buy online: https://go.bongeats.com/amar-khamar-free-shipping 
📍 Visit their store ""Annaja"": https://maps.app.goo.gl/TgwkL1kWMWb4y3666"
kUnLPk_V8EI,I want to try bhaja mashla...I reside in Mumbai...so have to buy online...is there any minimum qty or price?
kUnLPk_V8EI,"Waiting from more than 3 month, please share paneer recipes like Shahi paneer,matar paneer, paneer do pyaja,gravy recipe for paneer"
kUnLPk_V8EI,Everything alright Bong eats? It's been three months since you posted a video..
kUnLPk_V8EI,Please please please ekta perfect hinger kochuri recipe ❤❤❤
kUnLPk_V8EI,Video post korchen da kno
kUnLPk_V8EI,"Can we have some "" ghoti gorom "" recepie ?"
kUnLPk_V8EI,Accha eta niramish ki bhabe jokhon patha use kora hocche
kUnLPk_V8EI,Tomader ki kono cooking course ache? would love to enroll...❤❤
kUnLPk_V8EI,Ekta request - can you share the recipe of chicken shorba as served in some of the restaurants in Kolkata
kUnLPk_V8EI,Onek din kono video dewe ni to... Please upload something... New Year bole kotha. BTW Happy New Year both of you
kUnLPk_V8EI,Hi Insiya and Saptarshi... Wish a merry Christmas. Just saw you at Golpark more. I was with my mom. I showed her you both. But felt very shy to talk to you. Advance Happy new years
kUnLPk_V8EI,When are we going to get a bong eats recipe book!
zloZy7OFMQo,"✍🏾 Written recipe: https://bongeats.com/recipe/chalta-chutney
📣 Watch this video with a Bangla voiceover: https://youtu.be/WsLzcpE9Hh0
🌾The fragrant, small-grained Radhatilok rice used in this recipe is from Amar Khamar: https://go.bongeats.com/amar-khamar-free-shipping (apply code BONGEATS23 for free shipping on orders over Rs 750!)"
zloZy7OFMQo,Which rice grain can I replace with this?
zloZy7OFMQo,"Hi I love all the videos shot on your channel...I too have a good review channel we shoot videos in restaurants and I use Sony zv e10 camera with 35 mm prime manual lens f1.2 .... somehow I don't get the desired footage...
Can you please help me"
zloZy7OFMQo,Can I use pestle and mortar instead of shil nora
zloZy7OFMQo,so much hard work for a chutney!!
zloZy7OFMQo,There is 99 percent similarity between odia and bengali cusines the diah in odia is called ambada khata
zloZy7OFMQo,"Chalta eivabe kete dekhbo. Gota abasthay khosa charale ki beshi slimy hobe?
Ghoti barir sobji (mulo, begun) diye tentuler tok tao khub valo hoy. Try kore dekhte paro.
Shubho bijoya."
zloZy7OFMQo,Such a good recipe with interesting ingredients. Can’t wait to try it! 👍🏼👍🏼👍🏼
zloZy7OFMQo,"The ingredients of this recipe amd of the previous one (one day dal) are sooo exotic for us here in Mumbai. Mot inly have we never seen them, we hadnt even heard of them earlier to watching them in the video."
zloZy7OFMQo,Niramish mangsher recipe ta diyo please.....
zloZy7OFMQo,"Really it's a month watering recipe.
I must try it.
Love you Insiya and Saptarshi.
Stay blessed always ❤"
zloZy7OFMQo,You should change your channel name to Bangal Eats.. Arrogance can be your middle name ..
zloZy7OFMQo,Ekta chicken biryani recipe dio please 🥺
zloZy7OFMQo,"Hello bong eats , as Christmas is near I would love to see more of christmas dishes and treats to make for Christmas. Love your recipes and watching your recipes for 3years and made amazing foods for my family. Hope to see some christmas dishes soon , keep going"
11ZPGwN2pVE,"✍🏽 Full written recipe: https://bongeats.com/recipe/garur-dal
📌 Watch this video in Bangla: https://youtu.be/QNuoeaJ7_kQ
🌾 We've served garur dal today with the fragrant, parboiled Tulaipanji (siddha) rice from ""Amar Khamar"". Visit https://go.bongeats.com/amar-khamar-free-shipping, or apply code BONGEATS23 for free shipping on orders over Rs 750!"
11ZPGwN2pVE,Amazing 🤩 I am so fascinated by this recipe and the ingredients. ❤
11ZPGwN2pVE,Proud to be a bangal Bengali! My grandmother used to cook this daal for us.. Missing her after watching this.. This recipe is very nostalgic for our bengali households.. Thank you @BongEats for recreating my childhood.. ❤️
11ZPGwN2pVE,"Hi bongeats. I have been following your cooking since 2 years, It has been a fantastic journey. I recenlty came across the bengali cook book recommendations on your website. I remember you mentioning internantional cook book recommendation in on eo fthe sunday adda, Can you please help me brush my memory or make new recommendation on eveidence based cookbooks"
11ZPGwN2pVE,"It’s almost like how sambar is made. It has a mix of all vegetables especially the variant we make in Kerala. It’s such a wholesome feel too see all foods are so closely or loosely connected across our country. More like first, 2nd and 3rd cousins 😅"
11ZPGwN2pVE,"By reading the intro description in this video, I can infer how much hard work you guys are doing to prepare each dish! I always appreciate the way you present not only the Bengali traditional food items but the other Indian foods also! 

Thank you."
11ZPGwN2pVE,Looks absolutely lovely!
11ZPGwN2pVE,Its  the Dalma we make in Odisha...its an authentic odisha dish made with daal and lot of vegetables.
11ZPGwN2pVE,The mighy thor gets boiled in a dal.....
11ZPGwN2pVE,"The avenger hero 
THOR"
11ZPGwN2pVE,BEING NEW to calcutta - saw the water lilies and bought them and put them in a vase - Boy! Was I so wrong . And the black roots that had to be fished out of the water - had no clue. Happens when we have no translators. The local vegetable and fish market is a thrill to be in - it is a culinary vacation for us - Learnt from the vegetable vendors how to cook most of them -  Keeps us healthy
Ykh9NdtuGVA,"Hi bongeats. I have been following your cooking since 2 years, It has been a fantastic journey. I recenlty came across the bengali cook book recommendations on your website. I remember you mentioning internantional cook book recommendation in on eo fthe sunday adda, Can you please help me brush my memory or make new recommendation on eveidence based cookbooks"
Ykh9NdtuGVA,I feel so emotionally connected with your channel. All your videos are awesome. They fill my heart with joy! ❤
Ykh9NdtuGVA,Was looking for this recipe for very long thank you
Ykh9NdtuGVA,"Aha shei puruno dine phire gelam..
Amar Bommar hathe banano opurbo swad er eai recipe ti❤❤oshonkho dhnnoyovaad eai recipe ta share korar jonno😊❤"
Ykh9NdtuGVA,Eagerly waiting ✋️
Ykh9NdtuGVA,Amader bariteo hoy
Ykh9NdtuGVA,Amar bari te every year hoe
Ykh9NdtuGVA,"Yes please..❤ but don't stop making videos on crismas and Rabindra Jayanti, I love those videos too"
Ykh9NdtuGVA,"Ah shei ""Ashwin e radhe Kartik e khay/ Je bor mange she bor pay"" er dal eta.  Eta amader barite o hoy"
Ykh9NdtuGVA,Excited
Cr_ARyKba2I,"So those are basically cottage cheese tamales (which are really leaf cooked dumplings, filled or unfilled)?"
Cr_ARyKba2I,U guys just open ur restaurant chain and ill b ur first customer
Cr_ARyKba2I,Amazing variety of Bengali cottage cheese  dishes so well demonstrated and so neat .- not a bit clumsy!!
Cr_ARyKba2I,Bengalis are just too dramatic..i love it though
Cr_ARyKba2I,Awesome❤... Came here after Chef Ranveer Brar recommendation❤
Cr_ARyKba2I,I think that Julian was just a showoff😄😁. That aside really awesome cooking skills may God bless you both
Cr_ARyKba2I,Video te voice notes thakle aro valo lage.. ❤❤voice notes  debar jonno request kora thaklo. 😊😊
Cr_ARyKba2I,Looks yummy ❤
Cr_ARyKba2I,such wonderful and unique recipes!
Cr_ARyKba2I,What a voice and background sounds are great sounds like must be deserve bong eats
Cr_ARyKba2I,It's lovely
3vxso7afadk,Sounds like a sweet & sour chutney if one ever saw such a thing
3vxso7afadk,Can add posto bata also...it just 😋
3vxso7afadk,What is amra
3vxso7afadk,"Amar Maa korto bileti amra diye narkel er dudher chatni....Jodi recipe lage bolben, Maa er theke jene bolbo, happy cooking 😊❤"
3vxso7afadk,I make all my Bengali recipes by watching this channel.  Today I am making kacha Kolar kofta dalna. Hope it will taste as good as it looks. I love bong eats.❤
3vxso7afadk,Please upload Bangladeshi Morog polau
3vxso7afadk,"✍🏾 Written recipe: https://bongeats.com/recipe/amra-chutney
📌 Watch this video in Bangla: https://youtu.be/w0OWNhle3Do
🛒 Buy small 3-in paring knife: https://geni.us/LrZNZF (affiliate link)"
atAiM9I7eEY,"✍🏾 Written recipe: https://bongeats.com/recipe/chicken-rezala
✅ Sree Ghee: https://amzn.to/3PFtS4X
✅ Meetha attar: https://amzn.to/48rVCkW
🤛🏽DONATE https://bongeats.com/donate"
atAiM9I7eEY,This is ART❤
atAiM9I7eEY,"Ai recipe dekhe ami o barite banalam, sotti ato valo khete hoeche, nijeke jeno big shef  mone hocchilo"
atAiM9I7eEY,"Could’t find ingredients list in ur videos, pl send if possible"
atAiM9I7eEY,"Recipe ta korechilum
Oshadharon hoyechilo👌"
atAiM9I7eEY,If I want to cook this with mutton what should I modify?
atAiM9I7eEY,The only one perfect recipe of resala in YouTube..
atAiM9I7eEY,No interaction. Too much boring.
atAiM9I7eEY,"@Bong Eat. 
Dear, your video is definitely very informative. But kindly add bengali subtitles to these videos.Because most of the items you mentioned can't be recognized by many viewers including myself. I would be very helpful if you kindly guide that way."
atAiM9I7eEY,"Dear, hats off to you and the team. I simy have no words to describe the research work and experimentation done before uploading this video."
atAiM9I7eEY,Hello I made it.. it is tasting awesome obviously not as super as yours...and I will get it whiter next time...thank you 😀
atAiM9I7eEY,Please make butter chicken recipe
atAiM9I7eEY,Makhana ta ki agey dry roast korte hobe??
atAiM9I7eEY,"Just FYI, I’m a surgeon and an absolute foodie and I’m only 60!  I have been an avid follower of BongEats and am passionate  about cooking. I made Chicken Rezala following your recipe and, it was simply amazing! Reminded me of my childhood and medical college  days when we used to throng around Aminia Hotel! I soya and Saptarshi, I can’t thank you enough for doing what you do…and touching so many hearts through the palate!❤❤❤"
atAiM9I7eEY,"Please post the mutton rezala recipe as well!!!
Note: followed this recipe to the T, and it turned out to be stunning❤"
9CwHsg0AUB0,Rahul’s profile on Instagram https://instagram.com/rahul.arora.1982
9CwHsg0AUB0,He is an entertainer ...watched this 3 times
9CwHsg0AUB0,"Jah, last e ""bangalore gele ... I buy ... (fades out)"""
9CwHsg0AUB0,Would like to see rahul start a youtube channel too.. he's very charming
9CwHsg0AUB0,"I love this guy so much, I was born in 80s, he is so true about Pride... it is just a fashion... etc lots of love to him...."
9CwHsg0AUB0,"I agree Punjabi cooking is so much more than the cliched stuff... I have a book called Amritsari cooking, it is quite an old book, but the recipes are amazing!!"
9CwHsg0AUB0,Ki shundor ekta episode dekhlam! Loved what he said about pride.
9CwHsg0AUB0,So glad to see Rahul!! His cafe used to be our haunt during Presi days. I love every bit of his food. He brings tonnes of memories back. Love you Rahul.
9CwHsg0AUB0,"Please Ranbir Brar ker sathe ekta collaboration hok ,"
9CwHsg0AUB0,Food looks great 😂
9CwHsg0AUB0,What he said about the LGBTQ & the marketing strategies by companies for commercial purpose is 100% right....
9CwHsg0AUB0,"Rahul was my school senior, and my neighbor. His brother was my classmate! Good to see him again! :)"
9CwHsg0AUB0,I want the bloopers plss
9CwHsg0AUB0,Lovely to see the Punjabi Bengali fusion cuisine.
9CwHsg0AUB0,Good to see some kolkata non-bengalis and good ol' Punjabi food. Rahul Arora is such a good storyteller!
9CwHsg0AUB0,"I know I watched it way later, still bolte chai je loved every bit of it. Rahul da is amazing, funny, knowledgeable and an excellent cook..please take care of yourself. We want more from you"
9CwHsg0AUB0,The khatta meetha pumpkin is yummmm! I made it today n it was an instant hit🎉
9CwHsg0AUB0,"This is a bestest episode in রান্নাঘরে কে? I'm late to watching this....  Rahul, sir Please take care of your health...."
-xuI6LeE_sA,it was my Baba's favourite dish made with tal💖
-xuI6LeE_sA,"Amar to luchi fulte e chai na .. ki j mushkil..
btw ata sotty darun 🌼🌼"
3TXK9-NTtzs,finally some offbit . nice 😌
GNQ8_PykDEA,this zoomed in look is very jarring ... instead of trying to fill vertical space use some custom bong eats themed frame and show a more squarish video window for reusing these old clips shot in landscape
GNQ8_PykDEA,Garam water a 10 minuite cook kare baser jhudi te ghaslai habe
GNQ8_PykDEA,omg havent had this in so many years
3jx4uvqLLdE,"You guys are pure ASMR for us probashi Bengalis who have a premium choice for content. Every minute detail be it measurements, supers, text, lighting, presentation, to pure ease of execution. Yor channel is like balm for the eyes - class apart from all the 'debris of content' being thrown at us in the name of content. We are glad that Bong Eats happened to the internet❤"
3jx4uvqLLdE,❤❤I m loving it 😋
3jx4uvqLLdE,1:39 from where we get this product???
3jx4uvqLLdE,"Really loved this recipe.Can you make a video narikaler sondesh,a special Bengali sweet?"
3jx4uvqLLdE,Where can we get this tool?
3jx4uvqLLdE,your channel is very important to me
3jx4uvqLLdE,"I just love all the videos here, I am from Bihar and some of our foods are very similar."
3jx4uvqLLdE,I love this channel so much ❤️
3jx4uvqLLdE,Taler payesh was nice but it needed a little more milk
3jx4uvqLLdE,"Tomra kokhono bodlabe na. Luchi gulor radius mapcho 😂😛... Jai hok, phenomenal presentation as always"
3jx4uvqLLdE,Ai Taal scrubber ta kothay pawa jabe order korte hole ?
XH6OLE-ECHQ,"🌾 We've served loitta machher jhuri with plain dudhersar rice from Amar Khamar, although it'd taste even better with their red or hand-pounded dudhersar 👉🏾 https://go.bongeats.com/amar-khamar-free-shipping (use code BONGEATS23 for free shipping on orders over Rs 750)."
XH6OLE-ECHQ,Chorom! Jibhe jol......
XH6OLE-ECHQ,"Great recipe! Also love it dry, fried with onion and garlic!"
XH6OLE-ECHQ,Bombil hain ye to
XH6OLE-ECHQ,"Aj ei recipe ta baniyechilam. Tomar babar motoi amrao ektu roshalo pochondo kori. Extra ektu dhonepata diyechilam. Sotti e oshadharon khete hoyeche. Amar sob somoy dukkho hoto je chotobela thekei amar thakuma, didima keu e chilo na. Tader haat er ranna kemon amar khub jante icche kore. Saptarshi r thakuma er recipe gulo tai ami sob somoy try kori. Maa kheye tokhon bole je chotobelay thik jemon kheto, temon e hoyeche. Thank you Bong Eats❤"
XH6OLE-ECHQ,Try to put a larger frame in shorts videos.
XH6OLE-ECHQ,"I love Bengali cuisine (east a little over west), but this recipe just doesn't make sense to me. Bombils are more of a texture than flavor (exception being dried bombil). By crushing/ mashing it into the masalas one would lose the essence of the fish. Hence, this recipe leaves a lot to be desired. Your execution is flawless as always."
XH6OLE-ECHQ,Why do these fish always look like some kind of creatures from some alien planet..I don't know maybe it's only me who thinks like that 😂
XH6OLE-ECHQ,Please mention the name of the white liquid you added.
XH6OLE-ECHQ,I love this fish ❤ thanx bong eats you bring up so many memories
D7ipEsZJfTE,"🌾We've served loitta machher jhuri with plain dudhersar from Amar Khamar, although it'll probably taste even better with their red or hand-pounded dudhersar 👉🏾 https://go.bongeats.com/amar-khamar-free-shipping (use code BONGEATS23 for free shipping for orders over Rs 750).

The Bangla video 🙌🏽 https://www.youtube.com/watch?v=xuy65mSpcj4"
D7ipEsZJfTE,My boyfriend's mom made it once for lunch. This recipe was never cooked before in my house. Then I tried your recipe and it turned out to taste great! Everybody ate it and thought why didn't we cook Loitta maach like this before!
D7ipEsZJfTE,"Being a Ghoti, I tried it for the first time as both my bari n sasur bari never give try to this fish recipe n It's was awesome! I really enjoyed the dish."
D7ipEsZJfTE,"Made this, ate ek thala bhaat, ebar ghum pacche on a working weekday.. Bong eats please help!"
D7ipEsZJfTE,I believe er moddhye if we add a piece or two of Aar mach jinish ta aro upadeyo hobe
D7ipEsZJfTE,Loita mach is our favorite
D7ipEsZJfTE,Could you please teach us how to fry fish on oil in a Kadai? Please make a video on it.
D7ipEsZJfTE,Please lote macher (bombay duck)torkari upload korun ..if possible
D7ipEsZJfTE,"Dear BONG EAT's 
I am your viewers and subscribers I want to know about how can I cut potato for(alu vaja)fry and and how can I finely chopped onion by using knife .
I hope I get back next video for me .
         Thank you so much
Rumeli Bhattacharyya."
D7ipEsZJfTE,where to buy knife from?
D7ipEsZJfTE,omg my mum makes this so many times ..there are times she even makes do-maasa or tee-maasa  with loitta shutki and chingri shutki ..oooomy! missing ym mum' s cooking..eagerly waiting for her to come back from her trip..
D7ipEsZJfTE,Tried this today. Just added long coriander leaves at end. Marvellous  it was. Thank you. Go ahead
fhvOzKRWS1c,Watch the full video 👉🏾 https://youtu.be/6F5PaAvBbOg
fhvOzKRWS1c,Sometimes I make this version.
fhvOzKRWS1c,That makes me hungry!
HOqiPecowhU,Full recipe here 👉🏾 https://youtu.be/livC-tGE93Y
HOqiPecowhU,Thanks!
HOqiPecowhU,Perfect 👌 😊 🥰
80IPnweRQXo,Does torkari mean vegetable dish? We use the same word in konkani in Goa for dry veg dishes.
80IPnweRQXo,It's our almost every weekend breakfast❤
80IPnweRQXo,Thoda ginger juice dete to aur accha hota
80IPnweRQXo,Amio banalam torkari ta luchir sathe oshadharon khete hoyeche
80IPnweRQXo,Ata amar favorite comfort food. ❤❤❤❤
livC-tGE93Y,This is culinary therapy.
livC-tGE93Y,"We are familiar with the second version of sada aloor torkari more.... 
But we used to have makha makha than jhol.... 
Sada aloor torkari is love...."
livC-tGE93Y,My mother doesn't eat tomatoes. What other vegetables can we use?
livC-tGE93Y,"Awesome never end dish specially for ""Ghoti"" Thanks and Love for u"
livC-tGE93Y,Simple and Fastest recipe ❤
livC-tGE93Y,Alu capsicum curry dekhte cai
livC-tGE93Y,Nice recipe.I'm your friend.You're also on the side❤❤❤
livC-tGE93Y,"Can you tell me which peeler you used
Peeler Brand name please???"
livC-tGE93Y,I made this one. It turned out to be superb. My husband has become a fan of this one torkari
livC-tGE93Y,Worthless 😔
livC-tGE93Y,Apnader ekta mashla lebu chha er video chhilo. Ota khuje pachhi na. Plz link ta ektu deben. Ami baniye khabo bole khujchhi but pachhi na. Shuru theke ses obdhi sob video check korechhi kintu pachhi na.
livC-tGE93Y,Am not sure if i missed it in the video but I didnt see you adding salt.
-i45Afv1NfQ,"Old video, new voiceover. 🎉 Head over to Bong Eats Bangla 👉🏾 https://youtu.be/5aTemVzV10U"
-i45Afv1NfQ,Rainy season or not i can eat kichudi in any weather
-i45Afv1NfQ,"Aei recipe ta dekhe recently khichuri ranna kori, sobai tarif koreche"
-i45Afv1NfQ,English subtitles plz.. 😐👍
-i45Afv1NfQ,This is not actual bangali kichidi
-i45Afv1NfQ,Mouthwatering ❤
-i45Afv1NfQ,You the best....this is sooo true KHICHURI lovers don't wait for rain
-i45Afv1NfQ,Borsha kal e and sheet kal e ae khichuri (Bong eats er recipe) ta amdr barite compulsory ❤❤❤
-i45Afv1NfQ,"Ei ajke amrao khichuri khachhi dinner e.. 
Every Saturday khichuri is a must amader bari te"
yCwvj9XAtRg,"🌾 We've served lau chingri today with a light mosur dal and 'Hand-pounded Dudhersar Rice' from @amarkhamar. It is truly gorgeous, flecks of red visible through white. You can order it from their website, and enter code BONGEATS at checkout for 5% off! 👉🏾 https://go.bongeats.com/amar-khamar

Watch full recipe 👉🏾 https://youtu.be/t-h_t6R5eXM"
yCwvj9XAtRg,veg recipes Only..😊
yCwvj9XAtRg,Request for vapa chicken recipe
yCwvj9XAtRg,"My mom’s and my favourite. We are all lau crazy. Beautiful recipe. That’s a kind of lau I’ve never seen, only the light green oblong ones commonly sold at the Asian supermarkets here."
yCwvj9XAtRg,Awasome recipe 😋
yCwvj9XAtRg,Who all are getting the aroma? Please raise hand
yCwvj9XAtRg,First comment❤❤
51Pzl3VzHsU,"🌾 We've served lau chingri with 'Hand-pounded Dudhersar' rice from Amar Khamar 👉🏾 https://go.bongeats.com/amar-khamar
Use coupon code BONGEATS at checkout to get 5% off.

🦐লাউ চিংড়ির বাংলা ভিডিও এসে গেছে https://youtu.be/t-h_t6R5eXM"
51Pzl3VzHsU,Darun hoyeche tasty healthy
51Pzl3VzHsU,"Hello,I'm a novice and tried making the recipe ,it turned out delicious,the instructions are perfect and the dish was yummy,I never knew lau could taste so yummy.Thank you once again❤❤"
51Pzl3VzHsU,Why didn’t you remove the shell from the shrimp before cooking it?  The shells make it hard to eat.
51Pzl3VzHsU,Prawn ta aro ektu age dile bhalo sedhho hoto
51Pzl3VzHsU,Is mustard oil healthier I am thinking of switching to mustard oil.
51Pzl3VzHsU,Bangal barite generally niramish lau ghonto te ghee and gorom masala is very common. Lau chingri is pure❤ thanks a lot for the recipe😊
51Pzl3VzHsU,Pretty exciting .. havent cooked lau chingdi with garam masla .. will cook this fast
51Pzl3VzHsU,"I am an ardent follower of this channel, and I've often noticed you add tumeric powder directly to oil, but my mother and grandmother has always refused me to do so because they say the oil burns off the tumeric and turns the colour from yellow to brown/black(mosla puriye daye), yet I've seen you guys keeping your curries and other dishes perfect yellow (no spice burned). I would like to know how you guys do it."
51Pzl3VzHsU,Where do I get the chinese cooking wine from your chilli chicken video?
51Pzl3VzHsU,Chicken rezala banabo bole khuje khuje ektau recipe pelam na..... please recipe ekta add korun.... chicken er common recipe gulor modhhe etai baki
bQ-G80WbcrE,Your videos make the most simplest dishes so appetizing
bQ-G80WbcrE,Pls need recepie
bQ-G80WbcrE,What have you added give us the details of the recipe
bQ-G80WbcrE,"This recipe is the exact same as our house, the only difference is that we cut the pointed gourd(potol) into really thin slices. Thanks to you, bengali food is recieving the appreciation is deserves.❤"
bQ-G80WbcrE,"Je din eta post korecho sedin e baniye felechi , Darun howechilo and very easy to make. 😇 always feel confident making bong eats recipes because they always turn out tasty"
bQ-G80WbcrE,"Amar all time favorite item ,hoecheo darun"
bQ-G80WbcrE,Just.....ek kothai osadharun ek recipe....obossoy try korbo recipe ta❤❤❤
bQ-G80WbcrE,"Can someone list the Ingredients here, I'd love to try this recipe!"
WM2NalSGPKc,"🌾 We've served potol posto with 'Dudhersar' rice from Amar Khamar 👉🏾 https://www.amar-khamar.com/collections/rice/products/dudhersar

😴 Watch the full potol posto recipe 👉🏾 https://youtu.be/WM2NalSGPKc"
WM2NalSGPKc,"Very very very few YouTube channel has reached such perfection. It is not just the dish you prepare,  but the aesthetic wholeness with which you represent it, is really adorable."
WM2NalSGPKc,"I recently watched your Potol Posto video, and I must say, it was an absolute delight! Your culinary skills and presentation were truly impressive
Your Potol Posto recipe video was not just a feast for the eyes but also a treat for the taste buds. The way you explained each step of the process was so clear and easy to follow, making it accessible for both novice and experienced cooks. Your passion for cooking truly shines through in every moment of the video, and that enthusiasm is contagious."
WM2NalSGPKc,Delicious in summer l often have it 🎉🙏🏼
WM2NalSGPKc,does poppy has any flavour????
WM2NalSGPKc,What brand peeler r u using. It is not appearing in your list of kitchen tools. Plz share the link.
